Timestamp,Quantité consommée (mW),Prix
2024-03-03 08:47:02,2197,406445
2024-03-03 08:47:02,2185,404225
2024-03-03 08:47:02,2179,403115
2024-03-03 08:47:02,2175,402375
2024-03-03 08:47:02,2196,406260
2024-03-03 08:47:02,2185,404225
2024-03-03 08:47:02,2180,403300
2024-03-03 08:47:02,2176,402560
2024-03-03 08:47:02,2174,402190
2024-03-03 08:47:02,2197,406445
2024-03-03 08:47:02,2187,404595
2024-03-03 08:47:02,2181,403485
2024-03-03 08:47:02,2179,403115
2024-03-03 08:47:02,2178,402930
2024-03-03 08:47:02,2176,402560
2024-03-03 08:47:02,2172,401820
2024-03-03 08:47:02,2201,407185
2024-03-03 08:47:02,2191,405335
2024-03-03 08:47:02,2186,404410
2024-03-03 08:47:02,2183,403855
2024-03-03 08:47:02,2182,403670
2024-03-03 08:47:02,2181,403485
2024-03-03 08:47:02,2181,403485
2024-03-03 08:47:02,2182,403670
2024-03-03 08:47:02,2182,403670
2024-03-03 08:47:02,2183,403855
2024-03-03 08:47:02,2183,403855
2024-03-03 08:47:02,2186,404410
2024-03-03 08:47:03,2191,405335
2024-03-03 08:47:03,2197,406445
2024-03-03 08:47:03,2197,406445
2024-03-03 08:47:03,2198,406630
2024-03-03 08:47:03,2203,407555
2024-03-03 08:47:03,2205,407925
2024-03-03 08:47:03,2204,407740
2024-03-03 08:47:03,2202,407370
2024-03-03 08:47:03,2199,406815
2024-03-03 08:47:03,2201,407185
2024-03-03 08:47:03,2202,407370
2024-03-03 08:47:03,2201,407185
2024-03-03 08:47:03,2204,407740
2024-03-03 08:47:03,2205,407925
2024-03-03 08:47:03,2206,408110
2024-03-03 08:47:03,2207,408295
2024-03-03 08:47:03,2213,409405
2024-03-03 08:47:03,2206,408110
2024-03-03 08:47:03,2207,408295
2024-03-03 08:47:03,2211,409035
2024-03-03 08:47:03,2207,408295
2024-03-03 08:47:03,2213,409405
2024-03-03 08:47:03,2207,408295
2024-03-03 08:47:03,2211,409035
2024-03-03 08:47:03,2205,407925
2024-03-03 08:47:03,2212,409220
2024-03-03 08:47:03,2207,408295
2024-03-03 08:47:03,2217,410145
2024-03-03 08:47:03,2213,409405
2024-03-03 08:47:03,2211,409035
2024-03-03 08:47:03,2209,408665
2024-03-03 08:47:03,2206,408110
2024-03-03 08:47:03,2215,409775
2024-03-03 08:47:03,2207,408295
2024-03-03 08:47:03,2213,409405
2024-03-03 08:47:03,2207,408295
2024-03-03 08:47:03,2218,410330
2024-03-03 08:47:03,2207,408295
2024-03-03 08:47:03,2207,408295
2024-03-03 08:47:03,2204,407740
2024-03-03 08:47:03,2199,406815
2024-03-03 08:47:03,2200,407000
2024-03-03 08:47:03,2199,406815
2024-03-03 08:47:03,2199,406815
2024-03-03 08:47:03,2201,407185
2024-03-03 08:47:03,2198,406630
2024-03-03 08:47:03,2198,406630
2024-03-03 08:47:03,2197,406445
2024-03-03 08:47:03,2195,406075
2024-03-03 08:47:03,2195,406075
2024-03-03 08:47:03,2194,405890
2024-03-03 08:47:03,2193,405705
2024-03-03 08:47:03,2193,405705
2024-03-03 08:47:03,2191,405335
2024-03-03 08:47:03,2195,406075
2024-03-03 08:47:03,2195,406075
2024-03-03 08:47:03,2196,406260
2024-03-03 08:47:03,2191,405335
2024-03-03 08:47:03,2195,406075
2024-03-03 08:47:04,2191,405335
2024-03-03 08:47:04,2191,405335
2024-03-03 08:47:04,2194,405890
2024-03-03 08:47:04,2191,405335
2024-03-03 08:47:04,2191,405335
2024-03-03 08:47:04,2191,405335
2024-03-03 08:47:04,2191,405335
2024-03-03 08:47:04,2194,405890
2024-03-03 08:47:04,2191,405335
2024-03-03 08:47:04,2191,405335
2024-03-03 08:47:04,2191,405335
2024-03-03 08:47:04,2188,404780
2024-03-03 08:47:04,2190,405150
2024-03-03 08:47:04,2191,405335
2024-03-03 08:47:04,2191,405335
2024-03-03 08:47:04,2191,405335
2024-03-03 08:47:04,2191,405335
2024-03-03 08:47:04,2191,405335
2024-03-03 08:47:04,2191,405335
2024-03-03 08:47:04,2191,405335
2024-03-03 08:47:04,2191,405335
2024-03-03 08:47:04,2191,405335
2024-03-03 08:47:04,2191,405335
2024-03-03 08:47:04,2191,405335
2024-03-03 08:47:04,2191,405335
2024-03-03 08:47:04,2194,405890
2024-03-03 08:47:04,2191,405335
2024-03-03 08:47:04,2189,404965
2024-03-03 08:47:04,2188,404780
2024-03-03 08:47:04,2189,404965
2024-03-03 08:47:04,2189,404965
2024-03-03 08:47:04,2188,404780
2024-03-03 08:47:04,2189,404965
2024-03-03 08:47:04,2189,404965
2024-03-03 08:47:04,2189,404965
2024-03-03 08:47:04,2189,404965
2024-03-03 08:47:04,2189,404965
2024-03-03 08:47:04,2187,404595
2024-03-03 08:47:04,2190,405150
2024-03-03 08:47:04,2191,405335
2024-03-03 08:47:04,2191,405335
2024-03-03 08:47:04,2188,404780
2024-03-03 08:47:04,2187,404595
2024-03-03 08:47:04,2186,404410
2024-03-03 08:47:04,2183,403855
2024-03-03 08:47:04,2183,403855
2024-03-03 08:47:04,2186,404410
2024-03-03 08:47:04,2185,404225
2024-03-03 08:47:04,2183,403855
2024-03-03 08:47:04,2183,403855
2024-03-03 08:47:04,2184,404040
2024-03-03 08:47:04,2183,403855
2024-03-03 08:47:04,2187,404595
2024-03-03 08:47:04,2187,404595
2024-03-03 08:47:04,2186,404410
2024-03-03 08:47:04,2187,404595
2024-03-03 08:47:04,2185,404225
2024-03-03 08:47:04,2185,404225
2024-03-03 08:47:04,2187,404595
